"SITE","TREAT","PLOT","Biomass","m2","g.m2","biomass_plot"
"DALTON",0,"10_0",178.728492414571,100,1.78728492414571,714.913969658286
"DALTON",0,"11_0",1798.86378380685,9,199.873753756316,79949.5015025265
"DALTON",0,"44_0",467.367304536764,9,51.9297005040849,20771.880201634
"DALTON",0,"58_0",497.639962797185,9,55.2933291996873,22117.3316798749
"DALTON",1,"12_1",4653.26981544347,9,517.029979493719,206811.991797488
"DALTON",1,"41_1",1108.97187874191,9,123.21909763799,49287.639055196
"DALTON",1,"42_1",2367.71393478443,9,263.079326087159,105231.730434864
"DALTON",1,"48_1",5363.32915379457,9,595.92546153273,238370.184613092
"DALTON",1,"50_1",1101.99945112504,9,122.444383458338,48977.7533833352
"DALTON",1,"52_1",2506.81488409844,100,25.0681488409844,10027.2595363937
"DALTON",1,"64_1",6439.09524132352,9,715.455026813724,286182.01072549
"DALTON",1,"65_1",4066.5596557863,9,451.839961754034,180735.984701613
"DALTON",2,"16_2",3616.80272626754,9,401.866969585283,160746.787834113
"DALTON",2,"32_2",33537.9030688081,100,335.379030688081,134151.612275232
"DALTON",2,"39_2",131.182192943522,9,14.5757992159469,5830.31968637877
"DALTON",2,"40_2",743.45983140493,100,7.4345983140493,2973.83932561972
"DALTON",2,"56_2",4574.33072699892,9,508.258969666547,203303.587866619
"DALTON",2,"57_2",5357.34479011411,9,595.260532234902,238104.212893961
"DALTON",2,"8_2",2527.29675152776,9,280.810750169751,112324.3000679
"DALTON",3,"14_3",1673.2717292477,9,185.919081027522,74367.632411009
"DALTON",3,"15_3",11395.9276211272,25,455.837104845089,182334.841938036
"DALTON",3,"37_3",181.476770669726,9,20.1640856299696,8065.63425198784
"DALTON",3,"54_3",516.24650755172,9,57.3607230613022,22944.2892245209
"DALTON",3,"55_3",13268.853503897,100,132.68853503897,53075.4140155881
"DALTON",3,"7_3",1201.08413775262,9,133.453793083625,53381.5172334498
"STEESE",0,"1_0",1237.54253152003,9,137.504725724448,55001.8902897792
"STEESE",0,"31_0",1907.9609060774,9,211.995656230822,84798.262492329
"STEESE",0,"6_0",3575.26795865159,9,397.251995405732,158900.798162293
"STEESE",0,"9_0",3064.77112702118,9,340.530125224576,136212.05008983
"STEESE",1,"18_1",683.749163860342,9,75.9721293178157,30388.8517271263
"STEESE",1,"20_1",5497.30055862966,9,610.811173181073,244324.469272429
"STEESE",1,"28_1",7293.7532005747,9,810.417022286078,324166.808914431
"STEESE",1,"29_1",3996.15725028376,9,444.017472253752,177606.988901501
"STEESE",1,"33_1",50589.6891451733,100,505.896891451733,202358.756580693
"STEESE",1,"36_1",734.367054104731,9,81.5963393449701,32638.535737988
"STEESE",1,"5_1",6959.15130837689,9,773.239034264099,309295.61370564
"STEESE",2,"19_2",9710.53165065867,9,1078.9479611843,431579.184473719
"STEESE",2,"26_2",22642.7275359577,9,2515.85861510642,1006343.44604257
"STEESE",2,"27_2",13266.5305591417,9,1474.05895101575,589623.5804063
"STEESE",2,"3_2",19009.916942155,9,2112.21299357278,844885.197429112
"STEESE",2,"4_2",5568.05071771453,9,618.672301968281,247468.920787312
"STEESE",3,"17_3",6867.74468738757,25,274.709787495503,109883.914998201
"STEESE",3,"2_3",187.589285179203,9,20.8432539088004,8337.30156352015
"STEESE",3,"22_3",2487.02967678996,9,276.33663075444,110534.652301776
"STEESE",3,"23_3",1667.55352605234,9,185.283725116927,74113.4900467707
"STEESE",3,"24_3",1623.11970268117,9,180.346633631241,72138.6534524966
"STEESE",3,"25_3",NA,9,NA,NA
"STEESE",3,"35_3",367.626249516704,9,40.8473610574115,16338.9444229646
"DALTON",2,"47_2",7213,NA,306,122491
"STEESE",2,"34_2",14040,9,1560,623980
